t,P_prod_1,P_prod_2,P_prod_3,Q_prod_1,Q_prod_2,Q_prod_3
1,10.000492073449406,10.120215058711915,9.890943878841362,2.7581761604856188,2.47040490398048,2.8743352476773127
2,9.755272637918738,10.301980139136894,10.049670885306123,2.7300266403040236,2.631512074333698,2.84398965102542
3,9.074566298773735,9.7404952086864,6.3956195397879485,3.6621913667569737,2.95426785592363,4.645966761251444
4,9.011434744978883,9.760034072019979,8.055267535298524,3.3164603864093603,2.6520222408922693,3.8067586834410583
5,8.862301823236438,9.78292386869548,8.620479019539797,3.1555796708385158,2.441301147765429,3.374268478227282
6,9.52839465366915,9.226175615045301,9.122853393417877,2.6485330762602923,2.6367240781272967,2.8542514443843956
7,9.821660101265808,9.268063014777663,9.505488872288847,2.3498785973994023,2.5870540076742197,2.992031369624754
8,9.898469382751284,8.93957659835575,9.358684134720768,2.610797547978442,2.4849709539397433,2.781498772041138
9,9.154211891258452,8.92428277325832,9.415481279007215,2.8882581558876934,2.435470969233813,2.534109716982319
10,9.118895982438755,8.968335688450018,9.63587694082048,2.7218471550924335,2.50945830097354,2.4417748656507747
11,9.490655993360308,9.107216477678127,9.9521869569965,2.3432771401383765,2.2745370721904408,2.620872648967015
12,8.940765160480057,8.513742793420537,9.838784355051523,2.6930999771061757,2.735186825070445,2.9024633051191406
13,9.273272089014958,8.660400164303422,9.781891680199715,2.9542922011672093,2.815682709591178,3.0976929567994396
14,9.309689167977465,8.55072688598377,10.203424381667363,2.8577129296565196,2.9253452990096496,2.8268299574560762
15,9.547684880129026,8.039436014095333,10.523038372653696,3.1211352574262574,3.183675538334279,2.738834019393038
16,10.106791387484458,8.800082913385317,10.415421083353639,2.6876631569163525,2.783995304032259,2.8451741100781893
17,9.775530528648439,8.748583590224492,9.836236187234359,2.473422865570388,2.6170304031763636,2.839419349188039
18,9.591512027744102,8.928640717352119,9.713719391304029,2.9443754718724438,2.69705338036963,2.7332279280691694
19,9.782817977547332,9.607587921275119,9.204892717842412,2.655170440579565,2.645674629117197,2.6745013884041837
20,9.52413161151746,9.842889791930379,9.121103146703913,2.437045173124616,2.484401477104514,2.7162358605607047
21,9.613071774739245,11.564674476260805,10.035693759044419,2.3093611895772423,1.7945562059320992,2.5745962400040194
22,9.819272320283078,11.063006382640314,10.751148432240761,2.4572952885704864,1.915049829730452,2.360994736109598
23,10.21582581146007,10.699840387631054,14.117486369635806,1.8932018838574696,1.9307636036146483,1.7029213738368343
24,9.727219070009752,9.900006378212744,13.851110276947972,2.3190151289844296,2.281825393680531,1.827945642501678
25,9.785014064426372,9.817934186745815,13.210866878067225,2.232165348143366,2.4178386089266715,1.9556924586573707
26,9.79288450730032,10.006431415916214,12.178836650838232,2.455045363523693,2.353475641646752,2.22906033017043
27,9.958093569097384,10.849706480198167,11.183293188812684,2.2077074060287396,2.4086785956424066,2.516764164151288
28,9.931548693125167,10.752596516253913,10.870111232200305,2.5888801588336077,2.60825472268726,2.5623697998930983
29,9.733194072208892,11.218961417071904,10.755174139953647,2.258801141568469,2.088989906435513,2.2998655916308164
30,9.787779036013678,11.388095105284075,10.876117897324926,2.1848353472432933,1.9401329954423925,1.9814535556979582
31,9.765417417323365,11.164919498796275,10.185711488505733,2.265759477903795,1.7429240139467255,2.2602147378628237
32,9.898902553679811,10.954980298176197,10.191504450924192,2.15789622550634,1.7683744603982396,2.224403108982398
33,10.539255205724585,10.568764389526228,10.005469130925226,1.9670571004223454,1.7923829901171016,2.040159403860307
34,10.547070746258644,10.376306244143239,9.923501422697626,2.055293349273335,2.159178792108602,2.5308528103529024
35,11.155882154983665,10.530243741022163,9.961819519031122,2.192928062818357,2.1593671910205314,2.3708399283672463
36,10.877737400359793,10.494856614027983,9.35221399064182,2.531035845003649,2.230759387867587,2.7104523759481136
37,10.607427197133616,10.171373053259186,9.519251237341475,2.522688380957817,2.4130445381830796,2.7816960274112374
38,10.083614225836891,10.275803239137753,9.123262587824076,2.7309153746339243,2.3538316389570837,3.0419717443249827
39,10.296442113745524,11.06515457833222,10.597957491621434,2.907364573707028,2.158773628136253,2.5654650691672765
40,9.872299080569974,10.531845274240045,10.296283592819252,2.8969409771305825,2.4211987934502326,2.529357082483846
41,9.973427509624035,10.415259534932474,10.459850441086688,2.569719126271981,2.4203553844730514,2.538399509926523
42,9.430622070282883,10.711892027232588,10.687231409368968,2.5384473335776945,2.3607108966863164,2.2906719483553486
43,9.59682904261606,10.276571248443773,10.097197902894761,2.4104508419354502,2.137447834206349,2.6143995849899406
44,10.075549161099985,10.688458159248032,9.893173784753587,1.937139828496432,1.8618189104084242,2.3422472493328486
45,10.389079716145558,10.501605581299103,9.995280286432745,2.0654920065998543,1.9659352919478108,2.4866877237738807
46,10.763888523241498,10.512893915850688,9.522415418822296,1.8696986420989945,2.070855139470789,2.4749044687852955
47,11.233370175122404,10.27539137953247,9.715639925194164,1.8945903675076952,2.17896256611921,2.354275129326202
48,10.325217134484152,10.078073774696893,10.149397744232777,2.01801319274011,2.2491214171416516,2.2891513104022616
49,10.255434741402672,9.852742406368705,9.797217931894762,2.29860704261,2.516112069619345,2.7497211304138296
50,10.218141369863003,9.621275790907232,9.450669997567418,2.8427509294410718,2.64223756399338,2.7665974753799265
51,9.882513594921537,9.907332196899103,9.472200575128646,2.7362181871849898,2.471215882631974,2.761791099288114
52,9.547590907960878,9.905581760371861,8.913969743185424,2.954025201420047,2.47801189191289,2.782413857275808
53,9.204678367391033,9.62910631071154,8.668403440686946,3.088032284984364,2.570200756909208,3.1509561877860772
54,8.964635509023603,9.225524820564463,8.229306322778784,3.014238676046272,2.7573084974586344,3.3051308006099465
55,9.835622825324954,8.95765673635913,7.961645867175096,2.781826841625983,2.6894939242880347,3.3041630142884895
56,9.488156179156094,8.614119855241448,8.12248613588633,2.7285079838785404,2.437453437173133,3.1077917500047683
57,9.454669895311392,8.293971249385452,8.058587470481939,2.60496576173581,2.6684837057300634,2.8906857668400665
58,9.522754106507639,8.501351498759215,8.292600679406306,2.8494502494212335,2.6609900748612993,2.7657525892837103
59,9.303279888711101,8.688322275795448,8.32399244409966,2.57355789689306,2.67759370682069,3.0468966908740063
60,9.336039487505262,8.61909822033406,8.237855722831142,2.705307795064514,2.904915857614009,3.2271489830826416
61,8.939441839257602,8.59870881040086,8.38163237341917,3.2084196368302433,2.962011271011272,3.487618120309379
62,8.742781298185173,8.701278725240364,7.881662465604048,3.654819621957798,3.7163233925309145,3.712144406155935
63,9.120051675303587,8.31244002762529,8.320013885182721,3.2955906851880776,3.3757901216809008,3.866017810599919
64,9.40759633249911,8.617081783113488,8.050057943135661,2.9264344030644502,3.0892982048258744,3.824797977906915
65,9.438409109046985,7.962726704971179,8.442710919155259,2.767569754150693,3.061773849551158,3.4291054747610925
66,10.882756434576436,8.782004835190394,8.624108238243362,2.0196941173491396,2.379671421562107,2.9641439886843233
67,11.181744069736098,8.682348509954583,8.79797897618485,2.060292670728512,2.390581889417368,2.5145233450840663
68,10.000718484178135,8.305414402433929,9.179368060147999,2.255733676482598,2.6729389415421787,2.670479805626049
69,9.13803672163651,8.426355204737012,9.637816168775476,2.485224057570863,2.4540928838954095,2.6741923941601584
70,9.465887031486153,8.884716733358733,10.373529643987895,2.3092905656508114,2.1890405054655853,2.2981743141803923
71,9.89646523841169,9.780281484219305,10.251108094071796,2.5182463311226186,2.1729020370107692,2.5721612407708987
72,9.83844147531701,9.735453119500898,10.539455995183161,2.4803440265767875,2.458163868572732,2.4651513877697
