"product","term","estimate","se","lwr","upr"
"prod_1","(Intercept)",0.0863662148617446,2.11221325695118,-4.05357176876257,4.22630419848606
"prod_1","logP_prod_1",-1.91628531102743,0.243480950086826,-2.39350797319761,-1.43906264885725
"prod_1","logP_prod_2",0.0603630579617893,0.402327792301096,-0.728199414948359,0.848925530871938
"prod_1","logP_prod_3",0.235277455547307,0.241358100915741,-0.237784422247545,0.708339333342159
"prod_1","log_income",-0.517406391572614,0.556884439692809,-1.60889989337052,0.574087110225293
"prod_2","(Intercept)",-4.71061638777324,1.94075929970064,-8.5145046151865,-0.906728160359984
"prod_2","logP_prod_1",-0.611201177109396,0.223716949144318,-1.04968639743226,-0.172715956786533
"prod_2","logP_prod_2",-1.54594954350557,0.369669766169514,-2.27050228519782,-0.821396801813322
"prod_2","logP_prod_3",0.00339890472792738,0.221766415633286,-0.431263269913313,0.438061079369168
"prod_2","log_income",0.791425695896759,0.511680648205844,-0.211468374586694,1.79431976638021
"prod_3","(Intercept)",-1.17481924455851,1.84269306365398,-4.78649764932032,2.43685916020329
"prod_3","logP_prod_1",-0.864214383096407,0.212412566926814,-1.28054301427296,-0.447885751919851
"prod_3","logP_prod_2",-0.012077551959593,0.350990410328876,-0.700018756204189,0.675863652285003
"prod_3","logP_prod_3",-0.634870306686292,0.210560592708964,-1.04756906839586,-0.222171544976722
"prod_3","log_income",-0.317408286034984,0.485825510804957,-1.2696262872127,0.634809715142732
